"","(Intercept)","age","sexM","raceWhite","marital_statusDivorced/Widowed","marital_statusSingle","edutot","emp_statusUnemployed/Retired","thous","onsetage","morethan3epi","chronicTRUE","baseline_hrsd","treatmentBUP","age:treatmentBUP","sexM:treatmentBUP","marital_statusDivorced/Widowed:treatmentBUP","marital_statusSingle:treatmentBUP","edutot:treatmentBUP","emp_statusUnemployed/Retired:treatmentBUP","thous:treatmentBUP","onsetage:treatmentBUP","morethan3epi:treatmentBUP","chronicTRUE:treatmentBUP","baseline_hrsd:treatmentBUP"
"(Intercept)",9.06178647951858,0.0629529525279884,-1.05042249840224,-1.72023443376747,-3.52178787799596,-3.34638918787792,-0.513786410193506,-1.83198822530137,-0.129277935773465,0.0136668169861488,-2.76692150358052,-2.39040342293392,0.104288732291282,-8.2953036626046,-0.0552124943019764,1.26495020927507,3.75892694600822,3.58936974063118,0.568104870998148,2.08651353404784,0.143955835295224,-0.0318058817429937,2.79333111037886,2.02652688519132,-0.122330551952327
"age",0.0629529525279884,0.00626549887779158,-0.0224867266006781,-0.0219520748948705,-0.0486067895707589,0.0565112458023495,-0.00317903386901457,-0.0215322621898798,0.0147907436102152,0.000928040564229163,-0.0354593628745137,-0.0271417945852928,0.00068657178836837,-0.0531717925463939,-0.00616672215564104,0.0252243350822103,0.0516329437270292,-0.0534105479048223,0.00387219690327968,0.0247802838144707,-0.0146034375411841,-0.0011595148913609,0.0357963783736811,0.0224983315478057,-0.000916805161602049
"sexM",-1.05042249840224,-0.0224867266006781,2.69263954884568,-0.015448112965862,0.874001191361708,-0.0952479965405165,0.00564934663264626,0.3825240415407,0.145939234743388,-0.0285003547513476,-0.217667481385676,-0.526488984587794,-0.0258830570295774,1.05730569577909,0.0225562377502841,-2.69071303915211,-0.871871626321406,0.0974300194984135,-0.00516155397940645,-0.38023834393751,-0.145807423726551,0.028337461650292,0.217904645914648,0.523221287028478,0.0257210372125322
"raceWhite",-1.72023443376747,-0.0219520748948705,-0.015448112965862,1.94507772455314,0.504976871394722,0.296579476903356,-0.0111690155394636,0.259925975442742,0.0392087788050311,0.0225305513292087,0.110838409745283,0.237646429890716,0.040852127689089,0.853568458382368,0.0131998998554038,-0.227119448482292,-0.773111208062861,-0.57131880974237,-0.050249141235674,-0.547719021936715,-0.0558051536028988,-0.00202061959537209,-0.140699884954309,0.173790601107771,-0.0204521514740747
"marital_statusDivorced/Widowed",-3.52178787799596,-0.0486067895707589,0.874001191361708,0.504976871394722,7.31041885745265,2.5387975055429,0.214287437300473,0.413553859882731,0.416086223536705,-0.0371496833552512,0.17877291984713,0.121612044614252,0.0525398878418817,3.29678593217667,0.0463345688190951,-0.936976056959985,-7.38003131392931,-2.61012473683799,-0.230232686307047,-0.48827006808005,-0.420394938461631,0.0424744274663646,-0.186525491446679,-0.0147956526177415,-0.0472436901447172
"marital_statusSingle",-3.34638918787792,0.0565112458023495,-0.0952479965405165,0.296579476903356,2.5387975055429,4.75755843882412,0.199137425233629,0.0654026809068093,0.616972810040247,0.0330488155095515,0.477862070375937,0.171407156738998,0.020089856409209,3.21424262201835,-0.0578457505690254,0.0582620398458834,-2.5796818055917,-4.79944984840102,-0.208502277125563,-0.109284480645795,-0.619503374291697,-0.0299215241174596,-0.482415256392754,-0.1086725020299,-0.0169793306968858
"edutot",-0.513786410193506,-0.00317903386901457,0.00564934663264626,-0.0111690155394636,0.214287437300473,0.199137425233629,0.132217664619465,0.147062989709316,0.00991327484747087,-0.0084364050758746,0.0857989634502968,0.205179442850424,0.00261332279322639,0.518762975203948,0.00322929056456252,-0.00425647639975813,-0.212747757659343,-0.197559818416665,-0.131864989588145,-0.145410425923373,-0.00981797522747305,0.00831863304889754,-0.085627493037351,-0.207541994503104,-0.00273046343417563
"emp_statusUnemployed/Retired",-1.83198822530137,-0.0215322621898798,0.3825240415407,0.259925975442742,0.413553859882731,0.0654026809068093,0.147062989709316,2.66825687965995,-0.0411383323836597,-0.0195929235216231,-0.118410630501504,-0.153916209002809,-0.0310971377015965,1.71617331662631,0.0203626854651751,-0.414938998138214,-0.449385373517577,-0.102116837970675,-0.155270463430368,-2.70671543964,0.038920514116711,0.0223337209431793,0.114420161136766,0.208897647670056,0.0338232414710046
"thous",-0.129277935773465,0.0147907436102152,0.145939234743388,0.0392087788050311,0.416086223536705,0.616972810040247,0.00991327484747087,-0.0411383323836597,0.418455018750228,-0.0079370628063062,-0.0285943107789511,-0.120795075877461,0.000101213716774257,0.111807726692474,-0.0149671695138455,-0.150828899429811,-0.421491261990308,-0.622510991673993,-0.0111513389583343,0.0353370146475263,-0.418789567637504,0.008350500977186,0.0279923646657016,0.129088802825738,0.000310007976295192
"onsetage",0.0136668169861488,0.000928040564229163,-0.0285003547513476,0.0225305513292087,-0.0371496833552512,0.0330488155095515,-0.0084364050758746,-0.0195929235216231,-0.0079370628063062,0.0221809438735707,0.0396289150719,0.00834012916223025,0.00427123952485833,-0.0237057280266722,-0.00102942022966861,0.0256906053901676,0.0340437846247452,-0.0362312223422164,0.00772497595594803,0.0162593107182009,0.00774482088736282,-0.0219433697839318,-0.0399748115322163,-0.00357430256896221,-0.00403493909047203
"morethan3epi",-2.76692150358052,-0.0354593628745137,-0.217667481385676,0.110838409745283,0.17877291984713,0.477862070375937,0.0857989634502968,-0.118410630501504,-0.0285943107789511,0.0396289150719,3.14019679071931,1.19743732881255,-0.0273018238197064,2.71753536477514,0.0349606284789978,0.203844998907304,-0.194052300768135,-0.493517830740655,-0.0892988188753582,0.102011016642131,0.0276485820983377,-0.0384601760602572,-3.14189841856844,-1.17399197973959,0.0284642971203725
"chronicTRUE",-2.39040342293392,-0.0271417945852928,-0.526488984587794,0.237646429890716,0.121612044614252,0.171407156738998,0.205179442850424,-0.153916209002809,-0.120795075877461,0.00834012916223025,1.19743732881255,3.17192615842763,0.00457453639121737,2.28451558495288,0.0260724680871008,0.496852474818655,-0.154372261358261,-0.204974361162539,-0.212683413259336,0.11875412309574,0.118767357822777,-0.00583425909219575,-1.20108575524051,-3.1216574517804,-0.00208210050747033
"baseline_hrsd",0.104288732291282,0.00068657178836837,-0.0258830570295774,0.040852127689089,0.0525398878418817,0.020089856409209,0.00261332279322639,-0.0310971377015965,0.000101213716774257,0.00427123952485833,-0.0273018238197064,0.00457453639121737,0.0379003986182838,-0.122491166385968,-0.000870392191921508,0.0207884529073758,-0.0581714664781094,-0.025860158626275,-0.00390327761165545,0.0250526706168146,-0.000449784477654383,-0.00384047301125914,0.0266746484719943,0.00406680370239322,-0.0374719414812397
"treatmentBUP",-8.2953036626046,-0.0531717925463939,1.05730569577909,0.853568458382368,3.29678593217667,3.21424262201835,0.518762975203948,1.71617331662631,0.111807726692474,-0.0237057280266722,2.71753536477514,2.28451558495288,-0.122491166385968,19.1720471998202,0.105599140017954,-1.04249664772126,-7.42616706560495,-7.88935084171619,-0.974789818075518,-3.3446076244853,-0.174150601209106,0.050851792715338,-7.07318645719813,-5.56345860203514,0.390257728854785
"age:treatmentBUP",-0.0552124943019764,-0.00616672215564104,0.0225562377502841,0.0131998998554038,0.0463345688190951,-0.0578457505690254,0.00322929056456252,0.0203626854651751,-0.0149671695138455,-0.00102942022966861,0.0349606284789978,0.0260724680871008,-0.000870392191921508,0.105599140017954,0.0173866942564088,-0.02875743550217,-0.184267305343833,0.143589487956152,-0.0176562676312461,-0.0232313074632116,0.0126419839615833,-0.0066410002435872,-0.144398399648455,-0.0270671978012741,-0.00358098104654638
"sexM:treatmentBUP",1.26495020927507,0.0252243350822103,-2.69071303915211,-0.227119448482292,-0.936976056959985,0.0582620398458834,-0.00425647639975813,-0.414938998138214,-0.150828899429811,0.0256906053901676,0.203844998907304,0.496852474818655,0.0207884529073758,-1.04249664772126,-0.02875743550217,8.22106639312416,0.0496018311198185,-1.72953158394877,-0.153088338596847,0.241593756580731,0.054555702445525,-0.16397998834142,-0.542442047614434,-1.71052325777208,-0.107568205408137
"marital_statusDivorced/Widowed:treatmentBUP",3.75892694600822,0.0516329437270292,-0.871871626321406,-0.773111208062861,-7.38003131392931,-2.5796818055917,-0.212747757659343,-0.449385373517577,-0.421491261990308,0.0340437846247452,-0.194052300768135,-0.154372261358261,-0.0581714664781094,-7.42616706560495,-0.184267305343833,0.0496018311198185,20.8977071113147,7.58578100194905,0.421970802243742,-1.51018956139031,0.611269274521702,0.21067497333176,0.358663774238821,-0.264077888878547,0.164657656450909
"marital_statusSingle:treatmentBUP",3.58936974063118,-0.0534105479048223,0.0974300194984135,-0.57131880974237,-2.61012473683799,-4.79944984840102,-0.197559818416665,-0.102116837970675,-0.622510991673993,-0.0362312223422164,-0.493517830740655,-0.204974361162539,-0.025860158626275,-7.88935084171619,0.143589487956152,-1.72953158394877,7.58578100194905,13.2282826133391,0.292387190113989,-1.11844552334032,0.612935375834716,0.0421006917554594,0.270918383078754,0.189656469814755,0.105891645661363
"edutot:treatmentBUP",0.568104870998148,0.00387219690327968,-0.00516155397940645,-0.050249141235674,-0.230232686307047,-0.208502277125563,-0.131864989588145,-0.155270463430368,-0.0111513389583343,0.00772497595594803,-0.0892988188753582,-0.212683413259336,-0.00390327761165545,-0.974789818075518,-0.0176562676312461,-0.153088338596847,0.421970802243742,0.292387190113989,0.287245252667616,0.234253276614553,0.0322146034195478,0.00341940000912581,0.325141466667755,0.336930554869621,0.00881866676097374
"emp_statusUnemployed/Retired:treatmentBUP",2.08651353404784,0.0247802838144707,-0.38023834393751,-0.547719021936715,-0.48827006808005,-0.109284480645795,-0.145410425923373,-2.70671543964,0.0353370146475263,0.0162593107182009,0.102011016642131,0.11875412309574,0.0250526706168146,-3.3446076244853,-0.0232313074632116,0.241593756580731,-1.51018956139031,-1.11844552334032,0.234253276614553,7.07858794592987,-0.0411337275916152,-0.114355937249121,-0.143317840680893,-0.242021811330082,-0.143569399828356
"thous:treatmentBUP",0.143955835295224,-0.0146034375411841,-0.145807423726551,-0.0558051536028988,-0.420394938461631,-0.619503374291697,-0.00981797522747305,0.038920514116711,-0.418789567637504,0.00774482088736282,0.0276485820983377,0.118767357822777,-0.000449784477654383,-0.174150601209106,0.0126419839615833,0.054555702445525,0.611269274521702,0.612935375834716,0.0322146034195478,-0.0411337275916152,0.552667216418881,-0.0148542404876392,-0.104643590642187,-0.00711686763610158,-0.0141100563626193
"onsetage:treatmentBUP",-0.0318058817429937,-0.0011595148913609,0.028337461650292,-0.00202061959537209,0.0424744274663646,-0.0299215241174596,0.00831863304889754,0.0223337209431793,0.008350500977186,-0.0219433697839318,-0.0384601760602572,-0.00583425909219575,-0.00384047301125914,0.050851792715338,-0.0066410002435872,-0.16397998834142,0.21067497333176,0.0421006917554594,0.00341940000912581,-0.114355937249121,-0.0148542404876392,0.0571823604127636,0.139284081229636,0.008076521337472,0.0124467110767702
"morethan3epi:treatmentBUP",2.79333111037886,0.0357963783736811,0.217904645914648,-0.140699884954309,-0.186525491446679,-0.482415256392754,-0.085627493037351,0.114420161136766,0.0279923646657016,-0.0399748115322163,-3.14189841856844,-1.20108575524051,0.0266746484719943,-7.07318645719813,-0.144398399648455,-0.542442047614434,0.358663774238821,0.270918383078754,0.325141466667755,-0.143317840680893,-0.104643590642187,0.139284081229636,8.71421255048506,2.64935644048341,-0.0416894383133785
"chronicTRUE:treatmentBUP",2.02652688519132,0.0224983315478057,0.523221287028478,0.173790601107771,-0.0147956526177415,-0.1086725020299,-0.207541994503104,0.208897647670056,0.129088802825738,-0.00357430256896221,-1.17399197973959,-3.1216574517804,0.00406680370239322,-5.56345860203514,-0.0270671978012741,-1.71052325777208,-0.264077888878547,0.189656469814755,0.336930554869621,-0.242021811330082,-0.00711686763610158,0.008076521337472,2.64935644048341,7.57558457589554,-0.102495779217653
"baseline_hrsd:treatmentBUP",-0.122330551952327,-0.000916805161602049,0.0257210372125322,-0.0204521514740747,-0.0472436901447172,-0.0169793306968858,-0.00273046343417563,0.0338232414710046,0.000310007976295192,-0.00403493909047203,0.0284642971203725,-0.00208210050747033,-0.0374719414812397,0.390257728854785,-0.00358098104654638,-0.107568205408137,0.164657656450909,0.105891645661363,0.00881866676097374,-0.143569399828356,-0.0141100563626193,0.0124467110767702,-0.0416894383133785,-0.102495779217653,0.0973435788615427
