"","(Intercept)","age","sexM","raceWhite","marital_statusDivorced/Widowed","marital_statusSingle","edutot","emp_statusUnemployed/Retired","thous","onsetage","morethan3epi","chronicTRUE","baseline_hrsd","treatmentBUP","treatmentCIT+BUP","treatmentCIT+BUS","treatmentVEN","age:treatmentBUP","age:treatmentCIT+BUP","age:treatmentCIT+BUS","age:treatmentVEN","sexM:treatmentBUP","sexM:treatmentCIT+BUP","sexM:treatmentCIT+BUS","sexM:treatmentVEN","marital_statusDivorced/Widowed:treatmentBUP","marital_statusSingle:treatmentBUP","marital_statusDivorced/Widowed:treatmentCIT+BUP","marital_statusSingle:treatmentCIT+BUP","marital_statusDivorced/Widowed:treatmentCIT+BUS","marital_statusSingle:treatmentCIT+BUS","marital_statusDivorced/Widowed:treatmentVEN","marital_statusSingle:treatmentVEN","edutot:treatmentBUP","edutot:treatmentCIT+BUP","edutot:treatmentCIT+BUS","edutot:treatmentVEN","emp_statusUnemployed/Retired:treatmentBUP","emp_statusUnemployed/Retired:treatmentCIT+BUP","emp_statusUnemployed/Retired:treatmentCIT+BUS","emp_statusUnemployed/Retired:treatmentVEN","thous:treatmentBUP","thous:treatmentCIT+BUP","thous:treatmentCIT+BUS","thous:treatmentVEN","onsetage:treatmentBUP","onsetage:treatmentCIT+BUP","onsetage:treatmentCIT+BUS","onsetage:treatmentVEN","morethan3epi:treatmentBUP","morethan3epi:treatmentCIT+BUP","morethan3epi:treatmentCIT+BUS","morethan3epi:treatmentVEN","chronicTRUE:treatmentBUP","chronicTRUE:treatmentCIT+BUP","chronicTRUE:treatmentCIT+BUS","chronicTRUE:treatmentVEN","baseline_hrsd:treatmentBUP","baseline_hrsd:treatmentCIT+BUP","baseline_hrsd:treatmentCIT+BUS","baseline_hrsd:treatmentVEN"
"(Intercept)",7.27814178177374,0.0593390397593601,-1.25251193382354,-1.04487549014869,-2.25210736913101,-3.40071497062793,0.0675997614062619,-2.42789526219133,-0.0935338677919236,-0.177965809420151,-3.20995133350793,-1.68539755538121,-0.0539692588850241,-6.36340202035026,-6.27597252111537,-6.26757073849894,-6.24934854675946,-0.0608045090372584,-0.0552663837024064,-0.0544418509008639,-0.0536386471512562,1.24584576810931,1.38548092454318,1.22501538724385,1.12394046768398,2.22276278810363,3.2986028076246,2.13770400066224,3.25710838027728,2.27356668065706,3.41694626535838,2.10409013303335,3.33073839097802,-0.0789408147601134,-0.0643986529838955,-0.0817138525560359,-0.0623427787674998,2.42700648046795,2.3602594575509,2.30252401036897,2.11276698436363,0.117986193013407,0.118750684837728,0.140110210007701,0.0656887800821416,0.175722563560716,0.174414110325969,0.173605185550689,0.169363187531138,3.29522795462552,3.24282723074261,3.13413526587866,3.23293911363354,1.75869736679108,1.70162301148164,1.63882752201649,1.73285009145033,0.0463150390307462,0.0360811739074174,0.054463952011737,0.0371691757059874
"age",0.0593390397593601,0.0100621224526729,-0.032386635357677,0.00556599675180289,-0.00977214196164255,0.118190130619866,0.0058936898587963,-0.0506381217724094,0.0422527383870972,-0.00352763603233462,-0.068819299430716,-0.0498342703826828,0.000217953423576505,-0.0642118103323434,-0.0646775426739871,-0.06472229852786,-0.0648193671843545,-0.0100543159749465,-0.0100838172771739,-0.0100882095200185,-0.0100924881441259,0.0324221456716448,0.0316783165413071,0.0325331080143632,0.0330715287920187,0.00992845900058288,-0.11764618450097,0.0103815626852562,-0.117425145870041,0.00965782933839126,-0.118276593872759,0.010560621989261,-0.11781736906243,-0.00583327666437773,-0.00591074199491112,-0.00581850483796372,-0.00592169352867611,0.0506428562658798,0.0509984141445472,0.0513059678334874,0.0523167935254817,-0.0423829946368035,-0.042387067044522,-0.0425008481111055,-0.0421044090701521,0.00353958568498208,0.00354655574650917,0.00355086484621923,0.00357346174644379,0.0683650353575127,0.0686441712561669,0.0692231676333273,0.068696844735667,0.0494438061445401,0.0497478382318639,0.0500823464997736,0.0495814932201257,-0.000177179797198849,-0.000122664536220979,-0.00022058862783039,-0.000128460264548333
"sexM",-1.25251193382354,-0.032386635357677,4.18830223365652,0.112044713142919,-0.0530812866038333,-1.24770167659467,-0.0301554919757929,-0.877709396705199,-0.26333070962522,0.0511632918840899,-0.119187789467906,-0.809297636506071,0.116785074636777,1.15442201293302,1.14504672060934,1.14414577563358,1.14219176267649,0.0325437814352814,0.0319499138689126,0.0318614970746661,0.031775367450066,-4.18758740338989,-4.20256084395272,-4.18535370753739,-4.17451518134474,0.056227982257539,1.25865142909626,0.0653490569970721,1.26310098433322,0.0507801488827841,1.24596115269573,0.0689535593436319,1.25520544701279,0.0313716225882452,0.0298122288039557,0.0316689826347845,0.0295917720710672,0.877804703078239,0.884962159738285,0.891153281722356,0.911501420563856,0.260708623270483,0.260626644826196,0.25833620745533,0.266316610715155,-0.0509227428031717,-0.0507824339637641,-0.0506956908587196,-0.0502408103913963,0.110043355857393,0.115662421603787,0.127317743351633,0.116722750088335,0.801437507313378,0.807557738698603,0.814291462161474,0.804209177793144,-0.115964292757988,-0.114866888815702,-0.116838121865848,-0.114983558074929
"raceWhite",-1.04487549014869,0.00556599675180289,0.112044713142919,1.29350257113727,-0.230346138326777,-0.160943624001013,0.00299669539244374,-0.0919773519597468,-0.0953720784579549,-0.00817046642517936,-0.0713736411223918,-0.000414415337167328,0.0134550697307923,-0.0875256853773902,-0.195758946775318,-0.206159925187528,-0.228718069281263,-0.0037518205205139,-0.01060773725648,-0.0116284668159709,-0.0126227920968871,-0.103792339944122,-0.276653542614941,-0.0780053907226408,0.0471202051601597,0.266673233148825,0.28735327437037,0.371971674245954,0.338721259329026,0.203780605021147,0.140850108874418,0.413583928159238,0.247571061001834,0.0110429502982829,-0.00695950437194272,0.0144758296726244,-0.00950457180812689,0.0930776184079607,0.175707028871666,0.247180568139927,0.482090089267973,0.0651013468325322,0.064154944940923,0.0377129420552971,0.129842877022691,0.0109474904000254,0.0125672887772632,0.0135686963962054,0.0188200736146225,-0.0341944669569725,0.030674956922754,0.165230066444437,0.0429159416380418,-0.0903270131071388,-0.0196718718632386,0.0580657417039495,-0.0583294043725386,-0.00397953589455563,0.0086894672302224,-0.0140674745937259,0.00734257648857802
"marital_statusDivorced/Widowed",-2.25210736913101,-0.00977214196164255,-0.0530812866038333,-0.230346138326777,6.48083851694946,3.21940474677168,-0.0889014543847779,-0.174060171819156,0.58583542613006,0.0571160447364464,0.173425752380476,0.187777657784479,0.077756772460837,2.45376467050753,2.473038782796,2.47489098260257,2.47890812295912,0.00944907457975541,0.0106699719943088,0.0108517428833282,0.0110288117147402,0.0516117090855573,0.082394725208006,0.047019585107656,0.0247372963356351,-6.48730762354083,-3.24191569917298,-6.50605910484421,-3.25106327818277,-6.47610774319911,-3.21582650601817,-6.51346938929967,-3.23483130720654,0.0864012829583756,0.0896071489583507,0.0857899579213284,0.090060372994228,0.173864237050157,0.15914964270977,0.146421679016187,0.104589136696264,-0.580444832953186,-0.580276298289318,-0.575567522759809,-0.591973964631337,-0.0576105754493499,-0.0578990281431369,-0.0580773581929266,-0.059012520201995,-0.154626248947589,-0.166178155854925,-0.190139646587181,-0.168358022846608,-0.171618480296318,-0.184200704175591,-0.19804417034837,-0.177316594681384,-0.0794441696693657,-0.0817002579148469,-0.0776477157813862,-0.0814604044441166
"marital_statusSingle",-3.40071497062793,0.118190130619866,-1.24770167659467,-0.160943624001013,3.21940474677168,9.35427782421253,0.0155804092173972,1.33823727704167,1.70784361462862,0.107324049310055,0.587632757241424,-0.119353256407739,0.00853129445629307,3.54161360746013,3.55508049474394,3.55637463299782,3.55918142251816,-0.118415858889569,-0.117562813746902,-0.117435809813478,-0.117312091223567,1.24667487782452,1.26818307504639,1.24346634530805,1.22789763496606,-3.22392473337284,-9.37000630260379,-3.23702645662409,-9.37639774692043,-3.21609933919141,-9.35177769532563,-3.24220404737427,-9.3650564140352,-0.0173272874282147,-0.0150873380379383,-0.0177544222941152,-0.0147706688749628,-1.33837417732582,-1.3486553140362,-1.35754838521108,-1.38677692366651,-1.70407718898892,-1.70395943325066,-1.70066939590152,-1.71213263218994,-0.107669579587631,-0.107871122457974,-0.10799572226542,-0.108649123116248,-0.574497480766261,-0.582568837096755,-0.599310811513732,-0.584091917518378,0.130643728237271,0.121852485962356,0.11218000944173,0.126662436491873,-0.0097102845789082,-0.0112866210477173,-0.00845509618642039,-0.0111190346184898
"edutot",0.0675997614062619,0.0058936898587963,-0.0301554919757929,0.00299669539244374,-0.0889014543847779,0.0155804092173972,0.107595508691373,0.0706158022754173,0.0251513369076523,-0.00888996117285846,-0.0069038110349064,-0.149325602915427,0.00552563043864235,-0.0702232284644785,-0.0704739756396115,-0.0704980718917414,-0.0705503330066211,-0.00588948690344493,-0.00590537020708271,-0.00590773496122863,-0.00591003854380697,0.0301746104911275,0.0297741378665383,0.0302343518736662,0.0305242340161724,0.0889856144321594,-0.0152875522681533,0.0892295624229154,-0.0151685465488918,0.088839909233627,-0.015626960453971,0.0893259667535703,-0.0153797168901362,-0.107562982631903,-0.10760468944731,-0.107555029579444,-0.10761058567978,-0.0706132532558256,-0.0704218232740519,-0.0702562384266878,-0.0697120166405756,-0.0252214660005601,-0.0252236585576151,-0.0252849175222144,-0.025071477396324,0.00889639478585302,0.00890014742032168,0.0089024674107605,0.00891463343057798,0.00665923829873309,0.00680952319803547,0.00712125097170257,0.00683788224680243,0.149115379583375,0.149279068424002,0.149459165436249,0.149189509383194,-0.00550367819113885,-0.00547432753955301,-0.00552704921497262,-0.0054774479208879
"emp_statusUnemployed/Retired",-2.42789526219133,-0.0506381217724094,-0.877709396705199,-0.0919773519597468,-0.174060171819156,1.33823727704167,0.0706158022754173,4.72666269916996,-0.0632057453521743,0.0182502167109154,0.944390982510178,0.249991409587718,-0.0922537519448355,2.50841714425409,2.51611330891543,2.5168528934153,2.51845693998248,0.0505091207719741,0.0509966258459503,0.051069207071565,0.0511399107627413,0.877122593515824,0.889414270419302,0.875288955641855,0.866391624296339,0.17147705365559,-1.34722591391226,0.1639895758618,-1.35087854772794,0.175949172630884,-1.33680848335069,0.161030644809456,-1.34439711192734,-0.0716141222338781,-0.070334018006573,-0.0718582246898717,-0.0701530453757,-4.7267409360414,-4.73261648243615,-4.73769876601546,-4.75440252539376,0.0653582124588631,0.0654255084517911,0.0673057253606711,0.0607546232263521,-0.0184476831228381,-0.0185628624574379,-0.0186340697538731,-0.019007480508107,-0.936884329451111,-0.94149701284637,-0.951064850547364,-0.942367435050868,-0.243539040270808,-0.248563129854363,-0.254090834246396,-0.245814300781398,0.0915799732217708,0.090679115824663,0.0922972983427143,0.0907748894601855
"thous",-0.0935338677919236,0.0422527383870972,-0.26333070962522,-0.0953720784579549,0.58583542613006,1.70784361462862,0.0251513369076523,-0.0632057453521743,0.881762505163884,0.00362565114619954,0.152531946095488,-0.0331212990471027,-0.0304846016141303,0.177027674582893,0.185007891497905,0.185774772794704,0.187438021972851,-0.0423865005934721,-0.0418810025423404,-0.0418057424680241,-0.0417324292247262,0.262722248535353,0.275467590176972,0.260820934228587,0.251595217624761,-0.588513882760011,-1.71716400668805,-0.59627771053268,-1.72095145296068,-0.58387670553434,-1.70636208661012,-0.599345850661338,-1.71423079846776,-0.0261865031455986,-0.0248591524641577,-0.0264396150050814,-0.0246715004434963,0.0631246208918411,0.0570322181448175,0.0517623561848467,0.0344420896624174,-0.879530594183591,-0.879460814410845,-0.877511201916781,-0.884304094008453,-0.00383040570511457,-0.00394983611164569,-0.00402367154740998,-0.00441086425290796,-0.144748235331349,-0.149531164968929,-0.159452135169196,-0.150433712965911,0.0398118142622117,0.0346022941386877,0.0288705716468285,0.037452577783834,0.0297859548726198,0.0288518483722066,0.0305297552349572,0.0289511568485504
"onsetage",-0.177965809420151,-0.00352763603233462,0.0511632918840899,-0.00817046642517936,0.0571160447364464,0.107324049310055,-0.00888996117285846,0.0182502167109154,0.00362565114619954,0.0269016834922784,0.122006907062802,0.0360070639869611,0.000576294610571073,0.185118671726667,0.185802331928101,0.18586803017007,0.186010519688873,0.00351617670761594,0.00355948241009767,0.00356592989368301,0.00357221059347033,-0.0512154183658251,-0.0501235329037063,-0.0513783027755845,-0.0521686641578522,-0.0573455064438994,-0.108122521479503,-0.0580106287225907,-0.108446989637355,-0.0569482423657486,-0.107197127729558,-0.0582734743721169,-0.107871235362335,0.00880127912745935,0.00891499243173559,0.00877959519246329,0.00893106846320336,-0.0182571665927901,-0.0187790989329263,-0.0192305647173094,-0.020714381138056,-0.00343444472579503,-0.00342846673622422,-0.00326144465090936,-0.0038433874759192,-0.026919224687522,-0.0269294562158947,-0.0269357816515846,-0.0269689522089584,-0.121340081420644,-0.121749832016937,-0.122599755340797,-0.121827152740419,-0.0354338917250576,-0.0358801880619808,-0.0363712211498129,-0.0356360060413996,-0.000636147240783907,-0.000716171561555435,-0.000572426328062122,-0.000707663866380679
"morethan3epi",-3.20995133350793,-0.068819299430716,-0.119187789467906,-0.0713736411223918,0.173425752380476,0.587632757241424,-0.0069038110349064,0.944390982510178,0.152531946095488,0.122006907062802,4.65599445635866,1.30351072082396,-0.0791150688992921,3.27243562763463,3.27840778581111,3.27898169707892,3.28022642354245,0.0687191957539594,0.0690974955359594,0.0691538179483673,0.0692086834100546,0.118732435194755,0.128270671699816,0.117309547834153,0.110405294549278,-0.17543023005737,-0.594607862835485,-0.18124044900344,-0.597442275542059,-0.171959903852079,-0.586524025516003,-0.183536554278659,-0.592412736607383,0.0061291232566407,0.00712247322565152,0.00593970183147454,0.00726290644462962,-0.944451693655534,-0.949011067575761,-0.952954876312836,-0.965916851210566,-0.150861649967939,-0.150809428851046,-0.149350396556385,-0.154433995972204,-0.122160139315286,-0.122249517497168,-0.122304773752243,-0.122594537314643,-4.65016935757018,-4.65374876056722,-4.66117332106866,-4.65442420077859,-1.29850373723288,-1.30240238792528,-1.30669183941634,-1.30026931999518,0.0785922223533621,0.0778931646919526,0.0791488605328643,0.0779674842167612
"chronicTRUE",-1.68539755538121,-0.0498342703826828,-0.809297636506071,-0.000414415337167328,0.187777657784479,-0.119353256407739,-0.149325602915427,0.249991409587718,-0.0331212990471027,0.0360070639869611,1.30351072082396,5.49206250519045,-0.041880557095839,1.68576035668167,1.68579503270359,1.68579836499305,1.68580559222328,0.0498336891527176,0.0498358856671342,0.0498362126908249,0.0498365312550517,0.809294992591712,0.809350374262524,0.809286730909442,0.809246642882436,-0.187789296342907,0.119312756992393,-0.187823032100332,0.119296299598891,-0.187769146657645,0.119359694014461,-0.187836363930217,0.119325502509671,0.149321104861358,0.149326872529308,0.149320005027546,0.149327687923883,-0.249991762093621,-0.250018235094727,-0.25004113395209,-0.250116394806279,0.0331309972539193,0.0331313004643402,0.0331397720142124,0.0331102552131527,-0.0360079536963074,-0.0360084726510474,-0.0360087934843301,-0.0360104759326756,-1.30347689867001,-1.30349768168565,-1.30354079076199,-1.30350160348057,-5.49203343324232,-5.49205606989942,-5.49208097565536,-5.49204368471,0.0418775213024534,0.0418734623780117,0.0418807532995214,0.0418738938979742
"baseline_hrsd",-0.0539692588850241,0.000217953423576505,0.116785074636777,0.0134550697307923,0.077756772460837,0.00853129445629307,0.00552563043864235,-0.0922537519448355,-0.0304846016141303,0.000576294610571073,-0.0791150688992921,-0.041880557095839,0.0438991621947342,0.0421899728442248,0.0410641257745746,0.0409559343469519,0.0407212835557194,-0.00019908228389684,-0.000270397826524498,-0.000281015499581893,-0.000291358514190722,-0.116699233093581,-0.118497342805601,-0.11643099613166,-0.115129434267558,-0.0773788964481763,-0.00721637580184513,-0.0762835775063209,-0.00668204379897855,-0.0780331082881006,-0.00874030807033441,-0.0758507250400391,-0.00763019210717225,-0.00537958943649864,-0.00556685174916675,-0.0053438804766637,-0.00559332565079435,0.0922651969640521,0.0931247116680899,0.0938681825171006,0.0963117215233096,0.0301697241535745,0.0301598796401355,0.0298848287816474,0.0308431683527776,-0.000547407886988626,-0.00053055867415993,-0.00052014198876442,-0.000465516935646541,0.0780169448698154,0.078691719424713,0.080091367497818,0.0788190506775401,0.0409366608296598,0.0416716186669986,0.0424802486879908,0.041269501340648,-0.0438005972816463,-0.0436688137627982,-0.0439055324566247,-0.0436828241785894
"treatmentBUP",-6.36340202035026,-0.0642118103323434,1.15442201293302,-0.0875256853773902,2.45376467050753,3.54161360746013,-0.0702232284644785,2.50841714425409,0.177027674582893,0.185118671726667,3.27243562763463,1.68576035668167,0.0421899728442248,12.3113458157175,6.44735034934282,6.44805413825243,6.44958054961543,0.165050342706598,0.0645529629539254,0.0646220312776171,0.0646893129387766,-2.60927730908974,-1.14328365036599,-1.15672530562922,-1.16519200974119,-5.1992387606164,-5.21643631114208,-2.46334785369933,-3.55364304576514,-2.45196709657001,-3.54025396680511,-2.46616357368716,-3.54747530883219,-0.15852110103203,0.0704913744888383,0.06904093879168,0.0706635881176754,-3.70619714994679,-2.51408276682158,-2.51891906993407,-2.53481437412378,-0.273504188125424,-0.174915347118253,-0.173126131946241,-0.179360163390574,-0.237495602477044,-0.185416185545686,-0.185483946437813,-0.185839284262781,-6.83033000727463,-3.26968172493044,-3.27878648316185,-3.27051001905278,-5.54494047850361,-1.68440120510893,-1.68966137084721,-1.68178541824978,-0.158178160090535,-0.0436883972139371,-0.0421485340743663,-0.0435972589835838
"treatmentCIT+BUP",-6.27597252111537,-0.0646775426739871,1.14504672060934,-0.195758946775318,2.473038782796,3.55508049474394,-0.0704739756396115,2.51611330891543,0.185007891497905,0.185802331928101,3.27840778581111,1.68579503270359,0.0410641257745746,6.44735034934282,9.69159309015746,6.46530447974419,6.46871843393922,0.0644029848677435,0.0834623531018426,0.0655950381479812,0.0657455195417469,-1.14629563647688,-1.99003857076797,-1.15019823870805,-1.16913477228069,-2.4785365328434,-3.57421135738829,-4.31534125309901,-5.27810722914998,-2.46901834948842,-3.55203953800681,-2.50077002782592,-3.56819070898512,0.0683492127556082,0.0527380527374377,0.0678296800807431,0.0714588790030115,-2.51627982346738,-3.38489609455775,-2.53960179576773,-2.57515305130415,-0.18042671270991,-0.297005690211753,-0.176281745863548,-0.190224709285599,-0.186222607311094,-0.239834058303148,-0.186619301168951,-0.187414045683833,-3.26243108648959,-4.82362002230421,-3.29261203664069,-3.27410099168251,-1.67206220614607,-2.39170070373919,-1.6945199963655,-1.67690473087311,-0.0424981550260856,-0.103474509604269,-0.0409714442958957,-0.0442116458569892
"treatmentCIT+BUS",-6.26757073849894,-0.06472229852786,1.14414577563358,-0.206159925187528,2.47489098260257,3.55637463299782,-0.0704980718917414,2.5168528934153,0.185774772794704,0.18586803017007,3.27898169707892,1.68579836499305,0.0409559343469519,6.44805413825243,6.46530447974419,9.20199195926665,6.47055754253796,0.0644331530367995,0.0655258569192013,0.06941884511541,0.0658470186736629,-1.14546104835065,-1.11791023136301,-1.88613493119039,-1.16951366309049,-2.4806808366917,-3.5765219482368,-2.49746342315371,-3.58470903666818,-3.79312420675599,-4.84111040622645,-2.50409563196804,-3.57018141338604,0.0682604170390612,0.0711296689376036,0.0407716520149049,0.0715353047082242,-2.51702825514531,-2.53019782547288,-3.39223295773465,-2.57902950947525,-0.180950188826709,-0.180799350206419,-0.255193442876366,-0.191268768254653,-0.18631063544019,-0.186568800765657,-0.194210012935501,-0.18756537679345,-3.26215613078361,-3.27249509405466,-4.31705459205015,-3.27444607625557,-1.67133589192426,-1.68259698947286,-2.36426567640025,-1.67643570754898,-0.0424661558110444,-0.0444853560775799,-0.0493138527471029,-0.0442706870844684
"treatmentVEN",-6.24934854675946,-0.0648193671843545,1.14219176267649,-0.228718069281263,2.47890812295912,3.55918142251816,-0.0705503330066211,2.51845693998248,0.187438021972851,0.186010519688873,3.28022642354245,1.68580559222328,0.0407212835557194,6.44958054961543,6.46871843393922,6.47055754253796,12.9310235981887,0.064498583218234,0.0657108514224048,0.065891337568559,0.122774997586758,-1.14365095333226,-1.11308550923442,-1.14821062052597,-2.8854375043046,-2.48533150639546,-3.58153326921421,-2.50395045365034,-3.59061619382894,-2.47421078595905,-3.55562847249906,-6.25315781509828,-6.8657004721436,0.0680678326023483,0.0712510397844393,0.0674608283643247,0.0433521559798857,-2.51865148989939,-2.53326208260234,-2.54590008601331,-4.40767008294504,-0.182085529099945,-0.181918185626308,-0.177242691365317,-0.242570108741442,-0.186501555096184,-0.186787969028195,-0.186965038654711,-0.188917469300447,-3.26155979357483,-3.27303005247978,-3.29682218521181,-6.60575540835948,-1.66976062657675,-1.68225392025136,-1.69599954185457,-4.64882134473752,-0.0423967543686826,-0.0446368967534555,-0.0406129976806125,0.0435243016794074
"age:treatmentBUP",-0.0608045090372584,-0.0100543159749465,0.0325437814352814,-0.0037518205205139,0.00944907457975541,-0.118415858889569,-0.00588948690344493,0.0505091207719741,-0.0423865005934721,0.00351617670761594,0.0687191957539594,0.0498336891527176,-0.00019908228389684,0.165050342706598,0.0644029848677435,0.0644331530367995,0.064498583218234,0.0190346430152979,0.0100689396068639,0.0100719002458241,0.0100747842988413,-0.0705009408505035,-0.0320663314494434,-0.0326425129192463,-0.0330054412881184,-0.0622121582423058,0.171123222570966,-0.00985986123279101,0.117900212616268,-0.00937202091537286,0.118474140383602,-0.00998055810005674,0.118164594916052,0.000426510550029897,0.00590098108086668,0.00583880762413999,0.0059083630810623,-0.0545380768551729,-0.050751979755809,-0.0509592896578408,-0.0516406476864201,0.0629940406103352,0.0424770462829313,0.0425537416457728,0.0422865176075087,-0.00592540535628497,-0.00352892974629843,-0.00353183434172636,-0.00354706602757581,-0.149369250267982,-0.0686011487071694,-0.0689914274992707,-0.0686366538377125,-0.161845031890305,-0.0497754286233758,-0.0500009075519107,-0.0496633019628056,-0.00299204236602197,0.000134851775166917,0.000200858571925082,0.000138758448749303
"age:treatmentCIT+BUP",-0.0552663837024064,-0.0100838172771739,0.0319499138689126,-0.01060773725648,0.0106699719943088,-0.117562813746902,-0.00590537020708271,0.0509966258459503,-0.0418810025423404,0.00355948241009767,0.0690974955359594,0.0498358856671342,-0.000270397826524498,0.0645529629539254,0.0834623531018426,0.0655258569192013,0.0657108514224048,0.0100689396068639,0.0163870305655319,0.010133534294365,0.0101416885428085,-0.0320175898121914,-0.0371556310871023,-0.0322290630539857,-0.0332551912386543,-0.010967882710346,0.116526155306694,-0.0355366571428567,0.195381179336702,-0.0104521137513704,0.117727596356368,-0.0121726658221933,0.116852400709146,0.00579023408289986,0.00638419005683835,0.00576208177516676,0.00595873990626661,-0.051005648895193,-0.0635425336885314,-0.0522694141459786,-0.0541958567637006,0.0421292463222979,0.0553082726315093,0.0423538527577498,0.0415983149139158,-0.00358225618831616,-0.00494936753094388,-0.00360375213669927,-0.00364681755536222,-0.0682317541156042,-0.0834438666364576,-0.069867191957029,-0.0688641200438732,-0.0490917346675977,-0.0792107639158426,-0.0503086718341139,-0.049354140196482,0.00019269100510604,-0.000142470776677925,0.000275420027504644,9.9840788934449e-05
